Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_705.jpg;-4.983481;0;0;0;99.67;85.58897;0.0002602801;1.604584;-3.390472E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_755.jpg;-5.020412;0;0;0;99.67;85.58897;0.0002614878;1.004318;-7.288029E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_805.jpg;-7.997092;0;0;0;99.67;85.58897;0.0002625657;359.7454;-1.216996E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_855.jpg;-10.99224;0;0;0;99.67;85.58897;0.0002635157;358.5446;-1.329893E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_905.jpg;-14.00278;0;0;0;99.67;85.58897;0.000264522;356.2033;-1.206661E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_955.jpg;-15;0;0;0;99.67;85.58897;0.000264762;354.4034;-1.051974E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_005.jpg;-15;0;0;0;99.67;85.58897;0.0002652843;351.7035;-6.650435E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_055.jpg;-15;0;0;0;99.67;85.58897;0.0002656644;349.9034;-5.604766E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_106.jpg;-15;0;0;0;99.67;85.58897;0.0002663161;347.2034;-2.535096E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_155.jpg;-15;0;0;0;99.67;85.58897;0.0002660819;345.4035;-2.344829E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_205.jpg;-15;0;0;0;99.67;85.58897;0.0002666311;342.7035;1.472178E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_255.jpg;-15;0;0;0;99.67;85.58897;0.000265791;340.9035;2.718994E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_305.jpg;-11.96175;0;0;0;99.67;85.58897;0.0002650821;338.5677;3.468951E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_356.jpg;-8.951721;0;0;0;99.67;85.58897;0.0002648573;337.3714;1.35682E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_406.jpg;-8.945012;0;0;0;99.67;85.58897;0.0002651083;335.6423;-1.070839E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_455.jpg;-5.962965;0;0;0;99.67;85.58897;0.0002649586;334.8085;-3.560886E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_505.jpg;-7.970354;0;0;0;99.67;85.58897;0.0002638747;333.5543;-7.514356E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_556.jpg;-10.98264;0;0;0;99.67;85.58897;0.0002632537;332.3572;-8.363154E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_606.jpg;-13.97563;0;0;0;99.67;85.58897;0.0002636988;330.0212;-7.332889E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_656.jpg;-15;0;0;0;99.67;85.58897;0.0002630825;328.2213;-5.103192E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_706.jpg;-15;0;0;0;99.66999;85.58897;0.0002635123;325.5212;-2.300985E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_755.jpg;-15;0;0;0;99.66999;85.58897;0.0002638097;323.7212;5.629856E-08
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_805.jpg;-15;0;0;0;99.66999;85.58897;0.0002626863;321.0212;1.090927E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_856.jpg;-15;0;0;0;99.66999;85.58897;0.0002627358;319.2212;1.086185E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_905.jpg;-13.97038;0;0;0;99.66999;85.58897;0.0002619147;316.583;2.477873E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_37_955.jpg;-14.05879;0;0;0;99.66999;85.58897;0.0002617349;314.9577;1.998635E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_005.jpg;-12.08748;0;0;0;99.66999;85.58897;0.0002604221;312.722;1.337773E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_056.jpg;-9.084099;0;0;0;99.66999;85.58897;0.0002594553;311.5118;1.067999E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_106.jpg;-10.07338;0;0;0;99.66999;85.58897;0.000258506;309.8777;-3.427881E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_156.jpg;-8.059788;0;0;0;99.66999;85.58897;0.0002575805;308.8505;-6.359497E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_207.jpg;-5.060705;0;0;0;99.66999;85.58897;0.0002564531;307.7598;-1.196468E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_256.jpg;-8.049119;0;0;0;99.66999;85.58897;0.0002562798;306.9107;-1.487306E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_305.jpg;-11.04926;0;0;0;99.66999;85.58897;0.0002540926;305.1017;-1.590516E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_356.jpg;-14.05042;0;0;0;99.66999;85.58897;0.0002526152;303.5359;-1.427829E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_406.jpg;-15;0;0;0;99.66999;85.589;0.0002533562;300.8358;-1.141856E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_456.jpg;-15;0;0;0;99.66999;85.589;0.0002534089;299.0358;-1.03601E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_505.jpg;-15;0;0;0;99.66999;85.589;0.0002535628;296.3358;-8.220147E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_555.jpg;-15;0;0;0;99.66999;85.589;0.0002535618;294.5358;-6.699516E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_606.jpg;-15;0;0;0;99.66999;85.589;0.0002537966;291.8358;-3.904162E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_656.jpg;-12.0154;0;0;0;99.66999;85.589;0.0002536636;290.2743;-1.961301E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_705.jpg;-8.99961;0;0;0;99.66999;85.589;0.0002527474;288.4741;-4.936807E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_756.jpg;-6.014708;0;0;0;99.66999;85.589;0.0002529461;287.6307;-8.253026E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_806.jpg;-3.003192;0;0;0;99.66999;85.589;0.0002517887;286.9075;-1.330812E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_856.jpg;-0.01197159;0;0;0;99.66999;85.589;0.0002512869;286.786;-1.799957E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_906.jpg;0;0;0;0;99.66999;85.589;0.0002491679;286.786;-2.504954E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_38_956.jpg;0;0;0;0;99.66999;85.589;0.0002476574;286.786;-2.943841E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_39_006.jpg;0;0;0;0;99.66999;85.589;0.0002453619;286.786;-3.549146E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_39_056.jpg;0;0;0;0;99.66999;85.589;0.0002436436;286.786;-3.909454E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_39_106.jpg;0;0;0;0;99.66999;85.589;0.0002410111;286.786;-4.377634E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_39_156.jpg;0;0;0;0;99.66999;85.589;0.0002392011;286.786;-4.434534E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_39_206.jpg;0;0;0;0;99.66999;85.589;0.0002362804;286.786;-4.439986E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_39_256.jpg;0;0;0;0;99.66999;85.589;0.0002344111;286.786;-4.390831E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_39_307.jpg;-3.02539;0;0;0;99.66999;85.589;0.0002322505;286.4258;-4.265319E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_39_356.jpg;-6.069055;0;0;0;99.66999;85.589;0.0002312725;285.8738;-4.07292E-05
